n_samples,epsilon,run_idx,seed,pms_mse,pms_runtime_s,timestamp
1200,1.0,8,3200108,0.0,0.1025407500565052,2026-03-07 20:09:04
1200,1.0,9,3200109,0.0,0.10241716681048274,2026-03-07 20:09:05
1200,1.0,10,3200110,0.0,0.10217275004833937,2026-03-07 20:09:05
1200,1.0,11,3200111,0.0,0.10311958403326571,2026-03-07 20:09:05
1200,1.0,12,3200112,0.0,0.10280108288861811,2026-03-07 20:09:05
1200,1.0,13,3200113,0.0,0.10256962501443923,2026-03-07 20:09:05
1200,1.0,14,3200114,0.0,0.10225133295170963,2026-03-07 20:09:05
1200,1.0,15,3200115,0.0,0.10273562488146126,2026-03-07 20:09:05
1200,1.0,16,3200116,0.0,0.10230658296495676,2026-03-07 20:09:05
1200,1.0,17,3200117,0.0,0.10266195912845433,2026-03-07 20:09:06
1200,1.0,18,3200118,0.0,0.10258345794863999,2026-03-07 20:09:06
1200,1.0,19,3200119,0.0,0.10220704204402864,2026-03-07 20:09:06
2100,0.1,0,4100010,0.0,0.24473570799455047,2026-03-07 20:09:11
2100,0.1,1,4100011,0.0,0.24574029119685292,2026-03-07 20:09:12
2100,0.1,2,4100012,0.0,0.24508591718040407,2026-03-07 20:09:12
2100,0.1,3,4100013,0.0,0.24428550014272332,2026-03-07 20:09:12
2100,0.1,4,4100014,0.0,0.24430424999445677,2026-03-07 20:09:13
2100,0.1,5,4100015,0.0,0.2445968750398606,2026-03-07 20:09:13
2100,0.1,6,4100016,0.0,0.24431120813824236,2026-03-07 20:09:13
2100,0.1,7,4100017,0.0,0.24332370795309544,2026-03-07 20:09:14
2100,0.1,8,4100018,0.0,0.24261349998414516,2026-03-07 20:09:14
2100,0.1,9,4100019,0.0,0.2436446661595255,2026-03-07 20:09:14
2100,0.1,10,4100020,0.0,0.24289862508885562,2026-03-07 20:09:15
2100,0.1,11,4100021,0.0,0.24210058292374015,2026-03-07 20:09:15
2100,0.1,12,4100022,0.0,0.24271916691213846,2026-03-07 20:09:15
2100,0.1,13,4100023,0.0,0.2436507078818977,2026-03-07 20:09:16
2100,0.1,14,4100024,0.0,0.24382600001990795,2026-03-07 20:09:16
2100,0.1,15,4100025,0.0,0.24274616595357656,2026-03-07 20:09:16
2100,0.1,16,4100026,0.0,0.2426079160068184,2026-03-07 20:09:17
2100,0.1,17,4100027,0.0,0.24262449983507395,2026-03-07 20:09:17
2100,0.1,18,4100028,0.0,0.2427571250591427,2026-03-07 20:09:17
2100,0.1,19,4100029,0.0,0.24239437491632998,2026-03-07 20:09:18
2100,0.2,0,4100020,0.0,0.24991683405824006,2026-03-07 20:09:48
2100,0.2,1,4100021,0.0,0.24553487496450543,2026-03-07 20:09:48
2100,0.2,2,4100022,0.0,0.24990937509573996,2026-03-07 20:09:48
2100,0.2,3,4100023,0.0,0.24677450000308454,2026-03-07 20:09:49
2100,0.2,4,4100024,0.0,0.24544370803050697,2026-03-07 20:09:49
2100,0.2,5,4100025,0.0,0.24767416715621948,2026-03-07 20:09:49
2100,0.2,6,4100026,0.0,0.2453653330449015,2026-03-07 20:09:50
2100,0.2,7,4100027,0.0,0.24520429107360542,2026-03-07 20:09:50
2100,0.2,8,4100028,0.0,0.2519715840462595,2026-03-07 20:09:50
2100,0.2,9,4100029,0.0,0.25188300013542175,2026-03-07 20:09:51
2100,0.2,10,4100030,0.0,0.2519639579113573,2026-03-07 20:09:51
2100,0.2,11,4100031,0.0,0.24739133287221193,2026-03-07 20:09:51
2100,0.2,12,4100032,0.0,0.24587708292528987,2026-03-07 20:09:52
